,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
187,0.01,10.0,0.01,0.5,-1.0,3.0,0.8550288677215576,0.6711864406779661
188,0.01,10.0,0.01,0.5,0.0,1.0,0.8415844440460205,0.6610169491525424
189,0.01,10.0,0.01,0.5,0.0,3.0,0.8524354696273804,0.6711864406779661
190,0.01,10.0,0.01,0.5,1.0,1.0,0.8338795900344849,0.6338983050847458
191,0.01,10.0,0.01,0.5,1.0,3.0,0.8575338125228882,0.6576271186440678
192,0.01,10.0,0.01,0.0,-1.0,1.0,0.8212377429008484,0.6322033898305085
193,0.01,10.0,0.01,0.0,-1.0,3.0,0.8211031556129456,0.635593220338983
194,0.01,10.0,0.01,0.0,0.0,1.0,0.821648359298706,0.6372881355932203
195,0.01,10.0,0.01,0.0,0.0,3.0,0.821648359298706,0.6372881355932203
196,0.01,10.0,0.01,0.0,1.0,1.0,0.8177245855331421,0.6288135593220339
197,0.01,10.0,0.01,0.0,1.0,3.0,0.8199892044067383,0.6271186440677966
198,0.01,10.0,0.005,-1.0,-1.0,1.0,0.7879616022109985,0.6728813559322034
199,0.01,10.0,0.005,-1.0,-1.0,3.0,0.6619213819503784,0.6457627118644068
200,0.01,10.0,0.005,-1.0,0.0,1.0,0.7454613447189331,0.6067796610169491
201,0.01,10.0,0.005,-1.0,0.0,3.0,0.6601139903068542,0.6457627118644068
202,0.01,10.0,0.005,-1.0,1.0,1.0,0.7905547618865967,0.6169491525423729
203,0.01,10.0,0.005,-1.0,1.0,3.0,0.6472374796867371,0.6457627118644068
204,0.01,10.0,0.005,0.5,-1.0,1.0,0.8409068584442139,0.6338983050847458
205,0.01,10.0,0.005,0.5,-1.0,3.0,0.8531293869018555,0.6711864406779661
206,0.01,10.0,0.005,0.5,0.0,1.0,0.8448021411895752,0.6610169491525424
207,0.01,10.0,0.005,0.5,0.0,3.0,0.8491998910903931,0.6711864406779661
208,0.01,10.0,0.005,0.5,1.0,1.0,0.8303570747375488,0.6338983050847458
209,0.01,10.0,0.005,0.5,1.0,3.0,0.8611552119255066,0.6593220338983051
210,0.01,10.0,0.005,0.0,-1.0,1.0,0.8205561637878418,0.6305084745762712
211,0.01,10.0,0.005,0.0,-1.0,3.0,0.8222780227661133,0.635593220338983
212,0.01,10.0,0.005,0.0,0.0,1.0,0.8531998991966248,0.6847457627118644
213,0.01,10.0,0.005,0.0,0.0,3.0,0.8531998991966248,0.6847457627118644
214,0.01,10.0,0.005,0.0,1.0,1.0,0.8189191222190857,0.6322033898305085
215,0.01,10.0,0.005,0.0,1.0,3.0,0.8166530132293701,0.6271186440677966
216,0.01,20.0,0.001,-1.0,-1.0,1.0,0.806875467300415,0.6711864406779661
217,0.01,20.0,0.001,-1.0,-1.0,3.0,0.6597974896430969,0.6457627118644068
218,0.01,20.0,0.001,-1.0,0.0,1.0,0.7436906099319458,0.6101694915254238
219,0.01,20.0,0.001,-1.0,0.0,3.0,0.6400055289268494,0.6627118644067796
220,0.01,20.0,0.001,-1.0,1.0,1.0,0.7532196044921875,0.6271186440677966
221,0.01,20.0,0.001,-1.0,1.0,3.0,0.6607186198234558,0.6457627118644068
222,0.01,20.0,0.001,0.5,-1.0,1.0,0.8442995548248291,0.635593220338983
223,0.01,20.0,0.001,0.5,-1.0,3.0,0.8525654077529907,0.6711864406779661
224,0.01,20.0,0.001,0.5,0.0,1.0,0.8413841724395752,0.6627118644067796
225,0.01,20.0,0.001,0.5,0.0,3.0,0.8464980125427246,0.6711864406779661
226,0.01,20.0,0.001,0.5,1.0,1.0,0.8306881189346313,0.6322033898305085
227,0.01,20.0,0.001,0.5,1.0,3.0,0.8345654010772705,0.6627118644067796
228,0.01,20.0,0.001,0.0,-1.0,1.0,0.8181073665618896,0.6338983050847458
229,0.01,20.0,0.001,0.0,-1.0,3.0,0.8390214443206787,0.635593220338983
230,0.01,20.0,0.001,0.0,0.0,1.0,0.4710908532142639,0.7067796610169491
231,0.01,20.0,0.001,0.0,0.0,3.0,0.4710908532142639,0.7067796610169491
232,0.01,20.0,0.001,0.0,1.0,1.0,0.8196970224380493,0.6254237288135593
233,0.01,20.0,0.001,0.0,1.0,3.0,0.8179450035095215,0.6288135593220339
234,0.01,20.0,0.01,-1.0,-1.0,1.0,0.7949714660644531,0.6728813559322034
235,0.01,20.0,0.01,-1.0,-1.0,3.0,0.6622580885887146,0.6440677966101694
236,0.01,20.0,0.01,-1.0,0.0,1.0,0.7445511817932129,0.6067796610169491
237,0.01,20.0,0.01,-1.0,0.0,3.0,0.7346795201301575,0.588135593220339
238,0.01,20.0,0.01,-1.0,1.0,1.0,0.7749494314193726,0.6169491525423729
239,0.01,20.0,0.01,-1.0,1.0,3.0,0.659288227558136,0.6440677966101694
240,0.01,20.0,0.01,0.5,-1.0,1.0,0.8391718864440918,0.6338983050847458
241,0.01,20.0,0.01,0.5,-1.0,3.0,0.847882091999054,0.6694915254237288
242,0.01,20.0,0.01,0.5,0.0,1.0,0.8444512486457825,0.6627118644067796
243,0.01,20.0,0.01,0.5,0.0,3.0,0.8536210656166077,0.6711864406779661
244,0.01,20.0,0.01,0.5,1.0,1.0,0.8304852247238159,0.635593220338983
245,0.01,20.0,0.01,0.5,1.0,3.0,0.8573247194290161,0.6593220338983051
246,0.01,20.0,0.01,0.0,-1.0,1.0,0.8180770874023438,0.6338983050847458
247,0.01,20.0,0.01,0.0,-1.0,3.0,0.8226777911186218,0.635593220338983
248,0.01,20.0,0.01,0.0,0.0,1.0,0.8219584226608276,0.6372881355932203
249,0.01,20.0,0.01,0.0,0.0,3.0,0.8219584226608276,0.6372881355932203
250,0.01,20.0,0.01,0.0,1.0,1.0,0.8179826736450195,0.6288135593220339
251,0.01,20.0,0.01,0.0,1.0,3.0,0.8184686899185181,0.6271186440677966
252,0.01,20.0,0.005,-1.0,-1.0,1.0,0.7945276498794556,0.6745762711864407
253,0.01,20.0,0.005,-1.0,-1.0,3.0,0.6622498631477356,0.6457627118644068
254,0.01,20.0,0.005,-1.0,0.0,1.0,0.7459002137184143,0.6067796610169491
255,0.01,20.0,0.005,-1.0,0.0,3.0,0.7377381324768066,0.5915254237288136
256,0.01,20.0,0.005,-1.0,1.0,1.0,0.7767741680145264,0.6169491525423729
257,0.01,20.0,0.005,-1.0,1.0,3.0,0.658592164516449,0.6457627118644068
258,0.01,20.0,0.005,0.5,-1.0,1.0,0.8406147956848145,0.635593220338983
259,0.01,20.0,0.005,0.5,-1.0,3.0,0.8521841764450073,0.6694915254237288
260,0.01,20.0,0.005,0.5,0.0,1.0,0.8430197238922119,0.6627118644067796
261,0.01,20.0,0.005,0.5,0.0,3.0,0.8480116128921509,0.6711864406779661
262,0.01,20.0,0.005,0.5,1.0,1.0,0.8285036087036133,0.6322033898305085
263,0.01,20.0,0.005,0.5,1.0,3.0,0.8665654063224792,0.6661016949152543
264,0.01,20.0,0.005,0.0,-1.0,1.0,0.8219891786575317,0.6322033898305085
265,0.01,20.0,0.005,0.0,-1.0,3.0,0.82725989818573,0.635593220338983
266,0.01,20.0,0.005,0.0,0.0,1.0,0.7962890863418579,0.7067796610169491
267,0.01,20.0,0.005,0.0,0.0,3.0,0.7962890863418579,0.7067796610169491
268,0.01,20.0,0.005,0.0,1.0,1.0,0.8176390528678894,0.6271186440677966
269,0.01,20.0,0.005,0.0,1.0,3.0,0.8074532747268677,0.6271186440677966
270,0.01,30.0,0.001,-1.0,-1.0,1.0,0.7951633334159851,0.6728813559322034
271,0.01,30.0,0.001,-1.0,-1.0,3.0,0.6603822708129883,0.6474576271186441
272,0.01,30.0,0.001,-1.0,0.0,1.0,0.7538877129554749,0.6101694915254238
273,0.01,30.0,0.001,-1.0,0.0,3.0,0.6404213905334473,0.6627118644067796
274,0.01,30.0,0.001,-1.0,1.0,1.0,0.7525286674499512,0.6271186440677966
275,0.01,30.0,0.001,-1.0,1.0,3.0,0.6828711032867432,0.6067796610169491
276,0.01,30.0,0.001,0.5,-1.0,1.0,0.8377596139907837,0.6389830508474577
277,0.01,30.0,0.001,0.5,-1.0,3.0,0.8520593643188477,0.6694915254237288
278,0.01,30.0,0.001,0.5,0.0,1.0,0.843813955783844,0.6627118644067796
279,0.01,30.0,0.001,0.5,0.0,3.0,0.8450863361358643,0.6728813559322034
280,0.01,30.0,0.001,0.5,1.0,1.0,0.8332834243774414,0.635593220338983
281,0.01,30.0,0.001,0.5,1.0,3.0,0.8441759347915649,0.6677966101694915
282,0.01,30.0,0.001,0.0,-1.0,1.0,0.8186627626419067,0.6338983050847458
283,0.01,30.0,0.001,0.0,-1.0,3.0,0.8413194417953491,0.6338983050847458
284,0.01,30.0,0.001,0.0,0.0,1.0,0.4682021141052246,0.7067796610169491
285,0.01,30.0,0.001,0.0,0.0,3.0,0.4682021141052246,0.7067796610169491
286,0.01,30.0,0.001,0.0,1.0,1.0,0.8182309865951538,0.6271186440677966
287,0.01,30.0,0.001,0.0,1.0,3.0,0.8175922632217407,0.6254237288135593
288,0.01,30.0,0.01,-1.0,-1.0,1.0,0.7939321398735046,0.6728813559322034
289,0.01,30.0,0.01,-1.0,-1.0,3.0,0.6620445251464844,0.6440677966101694
290,0.01,30.0,0.01,-1.0,0.0,1.0,0.7684272527694702,0.6016949152542372
291,0.01,30.0,0.01,-1.0,0.0,3.0,0.6602985858917236,0.6440677966101694
292,0.01,30.0,0.01,-1.0,1.0,1.0,0.7834525108337402,0.6186440677966102
